Time,Y,X,S,k1,k2,k3,k4,_J0,_J1,_J2,_J3
10.635451505016722,4.455276649008782,5.97366589216174,1,8,1,1,1.5,35.64221319207026,35.684684191176515,26.614334158328415,8.960498838242609
10.735785953177256,4.459330936702863,5.976065441571488,1,8,1,1,1.5,35.674647493622906,35.713358161945024,26.649253503360594,8.964098162357232
10.83612040133779,4.463024461964097,5.978243285939602,1,8,1,1,1.5,35.70419569571278,35.739392785881925,26.681046024721066,8.967364928909403
10.936454849498325,4.466387689936386,5.980221508290693,1,8,1,1,1.5,35.73110151949109,35.76304928822262,26.70998772772236,8.97033226243604
11.03678929765886,4.469442887812899,5.982026536375391,1,8,1,1,1.5,35.75554310250319,35.78464148189935,26.736325957711017,8.973039804563086
11.137123745819395,4.472222370416117,5.983667526764039,1,8,1,1,1.5,35.777778963328934,35.804277070850475,26.760291770326614,8.97550129014606
11.23745819397993,4.4747501178986955,5.985159514368166,1,8,1,1,1.5,35.798000943189564,35.82213441243178,26.78209324256145,8.977739271552249
11.337792642140464,4.477047473171475,5.986517369156881,1,8,1,1,1.5,35.8163797853718,35.838390211217025,26.801922460680963,8.979776053735321
11.438127090300998,4.479141498350459,5.9877462604574605,1,8,1,1,1.5,35.83313198680367,35.853105279622305,26.819962756807787,8.981619390686191
11.538461538461533,4.481051128228255,5.988858004911722,1,8,1,1,1.5,35.84840902582604,35.866420202995215,26.836378919708487,8.983287007367583
11.638795986622068,4.482782778344741,5.989875834076375,1,8,1,1,1.5,35.86226222675793,35.87861250765214,26.851312233420913,8.984813751114562
11.739130434782602,4.484353973529879,5.9908044614692635,1,8,1,1,1.5,35.874831788239035,35.889738095560034,26.86488779143022,8.986206692203895
11.839464882943137,4.4857786094491034,5.991651270456003,1,8,1,1,1.5,35.88622887559283,35.89988494675704,26.877221104290086,8.987476905684005
11.939799331103671,4.487077726334672,5.992416263240937,1,8,1,1,1.5,35.896621810677374,35.90905267195448,26.888437541714055,8.988624394861406
12.040133779264206,4.488261043925988,5.993108117278588,1,8,1,1,1.5,35.9060883514079,35.9173449053905,26.898633694818106,8.989662175917882
12.14046822742474,4.4893388483052785,5.993734373108542,1,8,1,1,1.5,35.91471078644223,35.92485173538285,26.907904567618864,8.990601559662814
12.240802675585275,4.49031596474817,5.994306509195452,1,8,1,1,1.5,35.92252771798536,35.93171052618297,26.91633021583421,8.991459763793177
12.34113712374581,4.491204530041443,5.994826698578489,1,8,1,1,1.5,35.92963624033155,35.93794714598947,26.9239928254691,8.992240047867734
12.441471571906344,4.492013592657219,5.995298726738428,1,8,1,1,1.5,35.936108741257755,35.94360682283141,26.930963372549538,8.992948090107642
12.541806020066879,4.492744085688434,5.9957330266604725,1,8,1,1,1.5,35.941952685507474,35.94881452698715,26.937294094895652,8.993599539990708
12.642140468227414,4.493408415076274,5.996126906739884,1,8,1,1,1.5,35.947267320610194,35.953537881730014,26.94304710061027,8.994190360109826
12.742474916387948,4.494016182645816,5.996479583724942,1,8,1,1,1.5,35.95212946116653,35.95776739803006,26.948276288165136,8.994719375587414
12.842809364548483,4.494565577226108,5.996802935911545,1,8,1,1,1.5,35.95652461780887,35.96164545215733,26.953024049156497,8.995204403867318
12.943143812709017,4.495062539932592,5.997098274294162,1,8,1,1,1.5,35.960500319460735,35.965187711542015,26.95733180107408,8.995647411441244
13.043478260869552,4.495511804225936,5.997367564807306,1,8,1,1,1.5,35.96409443380749,35.96841770740272,26.961236681873004,8.99605134721096
13.143812709030087,4.495921930902365,5.9976096874759675,1,8,1,1,1.5,35.96737544721892,35.97132196330557,26.96478492691568,8.99641453121395
13.244147157190621,4.496294988065822,5.997828288957162,1,8,1,1,1.5,35.970359904526575,35.9739441838148,26.96800527491749,8.996742433435744
13.344481605351156,4.496629971565913,5.998029553435318,1,8,1,1,1.5,35.9730397725273,35.976358523883476,26.970919460315358,8.997044330152978
13.44481605351169,4.496937714235781,5.998208640317001,1,8,1,1,1.5,35.975501713886246,35.97850689277353,26.973570652496445,8.9973129604755
13.545150501672225,4.497220095872374,5.9983689951082795,1,8,1,1,1.5,35.97776076697899,35.98043060147631,26.97598558725873,8.99755349266242
13.64548494983276,4.497475676062679,5.998517134445677,1,8,1,1,1.5,35.979805408501434,35.98220781223838,26.97818490461464,8.997775701668516
13.745819397993294,4.497707491077329,5.998653020700336,1,8,1,1,1.5,35.98165992861863,35.983838062757265,26.98018662757755,8.997979531050504
13.846153846153829,4.497916910330484,5.998777982980886,1,8,1,1,1.5,35.98333528264387,35.98533728909622,26.982004930967918,8.998166974471328
13.946488294314364,4.498107673929792,5.998890371237033,1,8,1,1,1.5,35.984861391438336,35.986685686120396,26.98365481392484,8.998335556855551
14.046822742474898,4.498281034305388,5.998991914316582,1,8,1,1,1.5,35.986248274443106,35.987903988035725,26.985151553121653,8.998487871474872
14.147157190635433,4.498438949623175,5.99908341592549,1,8,1,1,1.5,35.9875115969854,35.98900183123225,26.98651050023767,8.998625123888235
14.247491638795967,4.498581995973522,5.999167216162735,1,8,1,1,1.5,35.988655967788176,35.99000728748174,26.98774562946427,8.998750824244102
14.347826086956502,4.49871185312859,5.999243650599068,1,8,1,1,1.5,35.98969482502872,35.99092437925323,26.988868520756462,8.9988654758986
14.448160535117037,4.4988296714968525,5.999313457686694,1,8,1,1,1.5,35.99063737197482,35.99176196358067,26.989889392051275,8.998970186530041
14.548494983277571,4.4989369426797525,5.999376547637982,1,8,1,1,1.5,35.99149554143802,35.99251896034863,26.99081678321503,8.999064821456972
14.648829431438106,4.499034224934266,5.999434289782903,1,8,1,1,1.5,35.99227379947413,35.99321179742289,26.99166019997748,8.999151434674355
14.74916387959864,4.499122881632859,5.999486268579018,1,8,1,1,1.5,35.99298305306287,35.993835486868186,26.992425949005998,8.999229402868526
14.849498327759175,4.49920338065403,5.999533587074315,1,8,1,1,1.5,35.99362704523224,35.9944032624328,26.993121797312156,8.999300380611473
14.94983277591971,4.49927647348839,5.99957662420092,1,8,1,1,1.5,35.99421178790712,35.9949196696581,26.99375395615809,8.99936493630138
15.050167224080244,4.4993430968182695,5.9996152364957736,1,8,1,1,1.5,35.994744774546156,35.99538298599224,26.994327397892967,8.99942285474366
15.150501672240779,4.499403401600149,5.999650633721906,1,8,1,1,1.5,35.99522721280119,35.99580772671967,26.99484846978083,8.999475950582859
15.250836120401313,4.499458313899055,5.999682446629966,1,8,1,1,1.5,35.99566651119244,35.996189460399734,26.995321065243424,8.99952366994495
15.351170568561848,4.4995080624490384,5.9997114814508805,1,8,1,1,1.5,35.99606449959231,35.99653786065352,26.9957501831563,8.99956722217632
15.451505016722383,4.499553212412774,5.999737859048432,1,8,1,1,1.5,35.99642569930219,35.996854377299066,26.996139757315913,8.999606788572649
