Time,A,B,C,comp,k1,k2,_J0,_J1
5.728643216080402,9.80149418367493,0.19736919916946744,0.0011366171476788318,100,0.35,0.2,3.430522964286225,0.03947383983389349
5.8291457286432165,9.798047028178646,0.20077634004543474,0.0011766317684501282,100,0.35,0.2,3.429316459862526,0.04015526800908695
5.9296482412060305,9.794601085038034,0.20418158390252739,0.0012173310524787842,100,0.35,0.2,3.4281103797633117,0.04083631678050548
6.030150753768845,9.791156353829898,0.20758493154229454,0.0012587146213986025,100,0.35,0.2,3.426904723840464,0.04151698630845891
6.130653266331659,9.78771283413188,0.21098638376464585,0.001300782097632546,100,0.35,0.2,3.4256994919461583,0.04219727675292917
6.231155778894473,9.784270525522539,0.2143859413677394,0.0013435331044456477,100,0.35,0.2,3.4244946839328883,0.04287718827354788
6.331658291457287,9.780829427529197,0.2177836052472832,0.0013869672190456159,100,0.35,0.2,3.4232902996352186,0.04355672104945665
6.432160804020101,9.77738953973852,0.22117937618593606,0.0014310840720474045,100,0.35,0.2,3.422086338908482,0.044235875237187215
6.532663316582915,9.773950861741852,0.22457325495740563,0.0014758832983083824,100,0.35,0.2,3.420882801609648,0.04491465099148113
6.633165829145729,9.770513393115262,0.22796524236447768,0.0015213645189675446,100,0.35,0.2,3.4196796875903415,0.04559304847289554
6.733668341708543,9.767077133435428,0.23135533920874665,0.0015675273557414465,100,0.35,0.2,3.4184769967024,0.046271067841749336
6.834170854271357,9.763642082279686,0.23474354629053226,0.0016143714309636492,100,0.35,0.2,3.41727472879789,0.04694870925810646
6.934673366834171,9.76020823922607,0.2381298644087962,0.0016618963676241574,100,0.35,0.2,3.4160728837291243,0.04762597288175924
7.035175879396985,9.756775603853358,0.24151429436105853,0.0017101017894088604,100,0.35,0.2,3.414871461348675,0.04830285887221171
7.135678391959799,9.75334417574111,0.24489683694331432,0.0017589873207389736,100,0.35,0.2,3.4136704615093887,0.04897936738866287
7.236180904522613,9.749913954469728,0.24827749294995008,0.001808552586810477,100,0.35,0.2,3.4124698840644045,0.04965549858999002
7.336683417085427,9.746484939593566,0.2516562632248825,0.0018587971894210651,100,0.35,0.2,3.411269728857748,0.0503312526449765
